2002 INDP,NAICSP02,2002 Title,2007 INDP,NAICSP07,2010 Title,Total Conversion Rate
6670,51M,Radio and television broadcasting and cable,6670,515,Broadcasting (except internet),0.9837
6670,51M,Radio and television broadcasting and cable,6680,5171,Wired telecommunications carriers ,0.0163
6692,5181,Internet service providers,6672,51913,Internet publishing and broadcasting and web search portals,0.2986
6692,5181,Internet service providers,6680,5171,Wired telecommunications carriers ,0.1736
6692,5181,Internet service providers,6690,517Z,"Telecommunications, except wired telecommunications carriers ",0.5278
