socp10,socp12
472020,472XXX
472141,472140
472142,472140
472171,472XXX
499095,4990XX
49909X,4990XX
514031,514030
514032,514030
514033,514030
514034,514030
514060,5140XX
514070,5140XX
514191,514XXX
514193,514XXX
514194,514XXX
516041,516040
516042,516040
519192,5191XX
534021,5340XX
