socp00,socp10
119011,119013
119012,119013
131121,131121
151041,151150
151071,151142
191040,1910XX
1930XX,1930XX
194041,1940XX
232011,232011
291129,29112X
292050,292050
394000,3940XX
4740XX,47XXXX
515010,515113
515023,515112
1191XX,119XXX
151021,151131
151030,15113X
151061,151141
252040,252050
291121,291181
396020,397010
499042,499071
515022,515111
519130,519151
XFTR00,XFTR10
