2002 INDP,NAICSP02,2002 Title,2007 INDP,NAICSP07,2010 Title,Total Conversion Rate
6670,51M,Radio and television broadcasting and cable,6670,515,Broadcasting (except internet),0.9834
6670,51M,Radio and television broadcasting and cable,6680,5171,Wired telecommunications carriers ,0.0166
6692,5181,Internet service providers,6672,51913,Internet publishing and broadcasting and web search portals,0.4167
6692,5181,Internet service providers,6680,5171,Wired telecommunications carriers ,0.1944
6692,5181,Internet service providers,6690,517Z,"Telecommunications, except wired telecommunications carriers ",0.3889
